GroupCode,Company,AccidentYear,DevelopmentYear,Lag,CumulativeIncurred,CumulativePaid,IBNR,DirectEP,CededEP,NetEP,Single,Reserve1997
86,Allstate Ins Co Grp,1988,1988,1,367404.0,70571.0,127737.0,400699.0,5957.0,394742.0,0,281872.0
86,Allstate Ins Co Grp,1988,1989,2,362988.0,155905.0,60173.0,400699.0,5957.0,394742.0,0,281872.0
86,Allstate Ins Co Grp,1988,1990,3,347288.0,220744.0,27763.0,400699.0,5957.0,394742.0,0,281872.0
86,Allstate Ins Co Grp,1988,1991,4,330648.0,251595.0,15280.0,400699.0,5957.0,394742.0,0,281872.0
86,Allstate Ins Co Grp,1988,1992,5,354690.0,274156.0,27689.0,400699.0,5957.0,394742.0,0,281872.0
86,Allstate Ins Co Grp,1988,1993,6,350092.0,287676.0,20641.0,400699.0,5957.0,394742.0,0,281872.0
86,Allstate Ins Co Grp,1988,1994,7,346808.0,298499.0,14513.0,400699.0,5957.0,394742.0,0,281872.0
86,Allstate Ins Co Grp,1988,1995,8,349124.0,304873.0,15862.0,400699.0,5957.0,394742.0,0,281872.0
86,Allstate Ins Co Grp,1988,1996,9,348157.0,321808.0,8974.0,400699.0,5957.0,394742.0,0,281872.0
86,Allstate Ins Co Grp,1988,1997,10,347762.0,325322.0,8843.0,400699.0,5957.0,394742.0,0,281872.0
86,Allstate Ins Co Grp,1989,1989,1,336928.0,66547.0,116172.0,379603.0,5351.0,374252.0,0,281872.0
86,Allstate Ins Co Grp,1989,1990,2,316483.0,136447.0,52298.0,379603.0,5351.0,374252.0,0,281872.0
86,Allstate Ins Co Grp,1989,1991,3,278496.0,179142.0,20543.0,379603.0,5351.0,374252.0,0,281872.0
86,Allstate Ins Co Grp,1989,1992,4,303033.0,211343.0,28846.0,379603.0,5351.0,374252.0,0,281872.0
86,Allstate Ins Co Grp,1989,1993,5,299496.0,231430.0,22033.0,379603.0,5351.0,374252.0,0,281872.0
86,Allstate Ins Co Grp,1989,1994,6,295061.0,244750.0,17174.0,379603.0,5351.0,374252.0,0,281872.0
86,Allstate Ins Co Grp,1989,1995,7,299251.0,254557.0,17851.0,379603.0,5351.0,374252.0,0,281872.0
86,Allstate Ins Co Grp,1989,1996,8,297492.0,270059.0,10305.0,379603.0,5351.0,374252.0,0,281872.0
86,Allstate Ins Co Grp,1989,1997,9,300620.0,273873.0,12520.0,379603.0,5351.0,374252.0,0,281872.0
86,Allstate Ins Co Grp,1989,1998,10,296626.0,277574.0,7331.0,379603.0,5351.0,374252.0,0,281872.0
86,Allstate Ins Co Grp,1990,1990,1,289198.0,52233.0,108959.0,283661.0,3341.0,280320.0,0,281872.0
86,Allstate Ins Co Grp,1990,1991,2,311381.0,133370.0,62543.0,283661.0,3341.0,280320.0,0,281872.0
86,Allstate Ins Co Grp,1990,1992,3,277980.0,178444.0,32561.0,283661.0,3341.0,280320.0,0,281872.0
86,Allstate Ins Co Grp,1990,1993,4,277732.0,204442.0,25858.0,283661.0,3341.0,280320.0,0,281872.0
86,Allstate Ins Co Grp,1990,1994,5,276563.0,222193.0,21189.0,283661.0,3341.0,280320.0,0,281872.0
86,Allstate Ins Co Grp,1990,1995,6,278067.0,232940.0,16645.0,283661.0,3341.0,280320.0,0,281872.0
86,Allstate Ins Co Grp,1990,1996,7,276704.0,253337.0,9428.0,283661.0,3341.0,280320.0,0,281872.0
86,Allstate Ins Co Grp,1990,1997,8,281101.0,256788.0,11861.0,283661.0,3341.0,280320.0,0,281872.0
86,Allstate Ins Co Grp,1990,1998,9,278023.0,261166.0,6895.0,283661.0,3341.0,280320.0,0,281872.0
86,Allstate Ins Co Grp,1990,1999,10,279032.0,263000.0,6455.0,283661.0,3341.0,280320.0,0,281872.0
86,Allstate Ins Co Grp,1991,1991,1,297174.0,59315.0,112836.0,318922.0,4940.0,313982.0,0,281872.0
86,Allstate Ins Co Grp,1991,1992,2,277209.0,128051.0,60251.0,318922.0,4940.0,313982.0,0,281872.0
86,Allstate Ins Co Grp,1991,1993,3,269739.0,169793.0,37066.0,318922.0,4940.0,313982.0,0,281872.0
86,Allstate Ins Co Grp,1991,1994,4,272666.0,196685.0,28931.0,318922.0,4940.0,313982.0,0,281872.0
86,Allstate Ins Co Grp,1991,1995,5,271318.0,213165.0,24175.0,318922.0,4940.0,313982.0,0,281872.0
86,Allstate Ins Co Grp,1991,1996,6,267578.0,234676.0,12850.0,318922.0,4940.0,313982.0,0,281872.0
86,Allstate Ins Co Grp,1991,1997,7,269592.0,239195.0,12899.0,318922.0,4940.0,313982.0,0,281872.0
86,Allstate Ins Co Grp,1991,1998,8,267745.0,245499.0,8296.0,318922.0,4940.0,313982.0,0,281872.0
86,Allstate Ins Co Grp,1991,1999,9,266677.0,247131.0,7246.0,318922.0,4940.0,313982.0,0,281872.0
86,Allstate Ins Co Grp,1991,2000,10,264467.0,248319.0,5807.0,318922.0,4940.0,313982.0,0,281872.0
86,Allstate Ins Co Grp,1992,1992,1,181796.0,39991.0,73135.0,257236.0,4538.0,252698.0,0,281872.0
86,Allstate Ins Co Grp,1992,1993,2,205079.0,89873.0,52160.0,257236.0,4538.0,252698.0,0,281872.0
86,Allstate Ins Co Grp,1992,1994,3,199106.0,114117.0,39554.0,257236.0,4538.0,252698.0,0,281872.0
